step,time_ps,elapsed_time_ns,potential_energy_kJ_mol,kinetic_energy_kJ_mol,total_energy_kJ_mol,temperature_K,volume_nm3,density_g_mL,speed_ns_day
6550000,13100.00000175132,5.550000001130681,-1806588.771973703,472008.3590334921,-1334580.412940211,309.4147232894616,1638.5585426666823,1.02006442355042,53.8
6575000,13150.000001761508,5.600000001140869,-1806876.1851943964,473580.8209502058,-1333295.3642441905,310.44551619711143,1641.004523516305,1.0185439779881862,53.8
6600000,13200.000001771694,5.650000001151056,-1809314.1168581047,472793.7880479508,-1336520.3288101545,309.9295940465597,1634.4007054129827,1.022659418674544,53.8
6625000,13250.00000178188,5.700000001161242,-1808705.036094447,472283.5939594107,-1336421.442135036,309.5951475061366,1633.072652730047,1.0234910691111794,53.8
6650000,13300.000001792068,5.75000000117143,-1807925.4635612716,472150.129313619,-1335775.3342476524,309.5076576859751,1631.5120367418306,1.0244700851958175,53.8
6675000,13350.000001802253,5.800000001181615,-1808825.7691751115,471060.7710203287,-1337764.9981547827,308.793552758741,1636.2521202432413,1.0215022823196915,53.8
6700000,13400.00000181244,5.850000001191801,-1806879.4257731428,474545.692640051,-1332333.7331330918,311.0780166628545,1635.8500292270369,1.0217533670055825,53.8
6725000,13450.000001822626,5.900000001201987,-1808372.8783999055,475191.2013169687,-1333181.677082937,311.5011657127112,1634.814790807538,1.02240038729603,53.8
6750000,13500.000001832812,5.950000001212174,-1808285.0214314305,473880.0712789048,-1334404.9501525254,310.6416831841501,1635.5244576356067,1.021956759787752,53.8
6775000,13550.000001842998,6.00000000122236,-1807333.3709542109,472957.9009748029,-1334375.469979408,310.0371746749074,1638.1370671175705,1.020326875467097,53.8
6800000,13600.000001853185,6.050000001232546,-1806640.477767148,475151.208614698,-1331489.26915245,311.4749493742293,1636.8798616045317,1.0211105374834908,53.8
6825000,13650.000001863373,6.1000000012427344,-1807067.1427002696,472806.3881071624,-1334260.7545931074,309.9378537389143,1635.7585893977043,1.0218104835960773,53.8
6850000,13700.000001873555,6.150000001252917,-1807609.786433616,472887.11699409824,-1334722.6694395174,309.9907737894487,1632.8006175901226,1.023661589340776,53.8
6875000,13750.000001883744,6.200000001263105,-1806674.04226692,472467.7541787727,-1334206.2880881475,309.7158696972255,1636.3182155439822,1.021461021090723,53.8
6900000,13800.00000189393,6.250000001273292,-1807534.51758058,474688.6677914476,-1332845.8497891324,311.17174088629247,1637.6677810218634,1.0206192578545887,53.8
6925000,13850.000001904116,6.300000001283478,-1808305.8138982607,473470.93597740034,-1334834.8779208604,310.3734835142075,1635.266550403859,1.022117938427906,53.8
6950000,13900.000001914304,6.350000001293666,-1807873.521377941,472855.3440032201,-1335018.1773747206,309.9699457024191,1637.5970617385794,1.020663333081705,53.8
6975000,13950.000001924487,6.400000001303849,-1806817.588047085,472374.3180141752,-1334443.2700329102,309.6546196696342,1634.07201162838,1.0228651267414417,53.8
7000000,14000.000001934675,6.450000001314037,-1808154.9740565568,473865.8694547231,-1334289.1046018335,310.63237348991424,1637.0056097667846,1.0210320998942854,53.8
7025000,14050.000001944862,6.500000001324223,-1807105.9305809392,473995.820217457,-1333110.110363482,310.71755986113635,1640.9177051614324,1.0185978675356366,53.8
7050000,14100.000001955048,6.55000000133441,-1808284.5949943236,473743.2885988074,-1334541.3063955158,310.55201829940154,1634.7003734212444,1.0224719480431628,53.8
7075000,14150.000001965234,6.600000001344596,-1811106.003694264,473713.10541545297,-1337392.8982788112,310.5322323758117,1634.9662327429426,1.022305685466531,53.8
7100000,14200.00000197542,6.650000001354782,-1808096.6051655223,474246.33432176354,-1333850.270843759,310.88177888561046,1632.7214423792784,1.0237112295427513,53.8
7125000,14250.000001985609,6.7000000013649705,-1808407.242186184,473023.6007517984,-1335383.6414343857,310.0802427221785,1633.2599268794202,1.0233737127637883,53.8
7150000,14300.000001995792,6.750000001375153,-1809581.83637287,474212.6899919234,-1335369.1463809465,310.859724083384,1634.1758544676743,1.022800129318621,53.8
7175000,14350.00000200598,6.800000001385341,-1808012.0693029452,472225.1779032438,-1335786.8913997016,309.55685414224035,1635.9075120747411,1.0217174644299458,53.8
7200000,14400.000002016166,6.850000001395528,-1807930.0786059047,474486.75248445466,-1333443.3261214504,311.0393797370767,1630.787124547899,1.0249254793094318,53.8
