GENERALIZED BORN:
Complex Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
84,-4931.4793,-39329.6655,-3965.4194,190.33020648,-44261.1448,-3775.08919352,-48036.23399352
85,-4936.8598,-39402.2566,-3890.7427,190.3361904,-44339.1164,-3700.4065096,-48039.522909600004
86,-4892.9576,-39540.5344,-3913.5206,190.84331304,-44433.492,-3722.67728696,-48156.16928696
87,-4922.3965,-39358.5199,-3871.686,189.63279648,-44280.9164,-3682.0532035200004,-47962.96960352
88,-4901.3737,-39585.5317,-3813.1097,191.47394304,-44486.9054,-3621.63575696,-48108.541156960004
89,-4930.023,-39611.1686,-3811.9348,190.23385968,-44541.1916,-3621.70094032,-48162.892540320005
90,-4908.9526,-39494.3207,-3805.4524,188.00112887999998,-44403.27329999999,-3617.45127112,-48020.724571119994
91,-4955.3789,-39515.5868,-3779.0233,190.92098952,-44470.9657,-3588.1023104799997,-48059.068010480005
92,-4945.8674,-39406.9768,-3922.0407,189.92877984,-44352.8442,-3732.11192016,-48084.95612016
93,-4940.716,-39230.1108,-3964.9555,193.31632512,-44170.8268,-3771.63917488,-47942.465974880004
94,-4882.0908,-39551.918,-3844.3464,192.93978384000002,-44434.008799999996,-3651.40661616,-48085.41541616
95,-4958.3146,-39429.0755,-3862.4103,188.21702735999997,-44387.3901,-3674.19327264,-48061.58337264
96,-4894.0589,-39360.9447,-3947.5983,190.32941160000001,-44255.0036,-3757.2688884,-48012.27248839999
97,-4972.4277,-39261.2612,-3909.0229,188.02378728,-44233.6889,-3720.99911272,-47954.688012720006
98,-4947.3905,-39326.0748,-3944.4959,190.07904312,-44273.4653,-3754.41685688,-48027.882156880005
99,-4925.8532,-39323.4306,-3988.6336,191.57840783999998,-44249.2838,-3797.05519216,-48046.338992159996

Receptor Energy Terms
Frame #,VDWAALS,EEL,EGB,ESURF,G gas,G solv,TOTAL
0,-4873.419,-39283.9434,-3918.1562,194.87962008,-44157.3624,-3723.2765799199997,-47880.63897992
1,-4849.798,-39209.1234,-3944.9824,193.99621463999998,-44058.9214,-3750.98618536,-47809.90758536
2,-4854.991,-39221.371,-3952.7839,195.186834,-44076.362,-3757.597066,-47833.959066
3,-4850.0284,-39163.6356,-4041.918,196.66457928,-44013.664000000004,-3845.25342072,-47858.917420720005
4,-4847.3839,-39116.5329,-3983.1979,195.34368239999998,-43963.9168,-3787.8542176,-47751.7710176
5,-4860.6476,-39185.4971,-3992.5712,196.00202303999998,-44046.144700000004,-3796.56917696,-47842.713876960006
6,-4845.646,-39029.8296,-4034.0202,197.03041776,-43875.4756,-3836.98978224,-47712.46538224
7,-4884.372,-39010.5772,-4020.6261,193.25079504,-43894.9492,-3827.37530496,-47722.32450496
8,-4895.059,-38981.0578,-4087.3793,195.68849328,-43876.1168,-3891.69080672,-47767.80760672
9,-4788.6033,-38935.3498,-4188.5739,196.50453624,-43723.953100000006,-3992.06936376,-47716.02246376001
10,-4870.8914,-38858.433,-4146.9351,193.72066776,-43729.3244,-3953.2144322399995,-47682.53883224
11,-4832.1718,-39145.1984,-4065.2561,192.59737704,-43977.370200000005,-3872.65872296,-47850.02892296
12,-4919.6387,-39012.2721,-4092.1394,192.09883104,-43931.910800000005,-3900.04056896,-47831.951368960006
13,-4825.8254,-39129.2769,-4011.1755,193.6003644,-43955.1023,-3817.5751356,-47772.677435599995
14,-4905.982,-39081.0522,-4099.2012,190.10503512,-43987.034199999995,-3909.0961648800003,-47896.130364879995
15,-4879.313,-39121.8443,-4054.0546,195.3033264,-44001.1573,-3858.7512736,-47859.908573600005
16,-4870.0999,-39175.0298,-4029.5776,194.376798,-44045.1297,-3835.2008020000003,-47880.330502
17,-4869.1829,-39198.4095,-4073.8549,192.14229096,-44067.5924,-3881.7126090399997,-47949.30500904
18,-4914.5416,-39229.7013,-4027.594,191.58353496,-44144.2429,-3836.01046504,-47980.25336503999
19,-4897.9578,-38964.4148,-4151.9104,194.51958696,-43862.3726,-3957.3908130399996,-47819.763413040004
20,-4866.5071,-39096.5377,-4093.7708,195.87107016,-43963.0448,-3897.89972984,-47860.94452984
21,-4833.9582,-39126.5904,-4031.5405,194.63999255999997,-43960.5486,-3836.90050744,-47797.44910744001
22,-4851.3243,-39182.2195,-3989.1359,192.08693592,-44033.5438,-3797.04896408,-47830.59276408
23,-4821.6312,-39107.2464,-4056.2676,196.00064496,-43928.87760000001,-3860.26695504,-47789.14455504001
24,-4823.4774,-39069.1162,-4085.8513,197.45861256,-43892.59359999999,-3888.39268744,-47780.98628743999
25,-4852.0146,-39176.8452,-4098.5852,192.06583271999997,-44028.859800000006,-3906.5193672800006,-47935.37916728001
26,-4854.6432,-39105.1661,-4110.6314,196.47448632,-43959.8093,-3914.1569136800003,-47873.966213679996
27,-4868.5712,-39063.5779,-4084.6306,193.12910856,-43932.149099999995,-3891.50149144,-47823.65059143999
28,-4856.0833,-39154.7699,-4062.5321,196.06104936,-44010.8532,-3866.4710506399997,-47877.32425063999
29,-4889.1822,-38965.2628,-4163.3773,198.61416935999998,-43854.445,-3964.7631306400003,-47819.20813064
30,-4837.3427,-39092.8535,-4072.9249,195.28387704,-43930.1962,-3877.64102296,-47807.83722296
31,-4824.1455,-39018.0119,-4140.9564,198.3293388,-43842.1574,-3942.6270612,-47784.7844612
32,-4877.2809,-39054.0105,-4093.5195,200.21014728,-43931.291399999995,-3893.30935272,-47824.60075272
33,-4888.039,-39108.486,-4039.636,193.38526512,-43996.524999999994,-3846.25073488,-47842.77573487999
34,-4830.78,-39193.8808,-4059.8609,196.12397808,-44024.6608,-3863.73692192,-47888.397721919995
35,-4903.5875,-39063.9976,-4031.0862,195.14524824,-43967.585100000004,-3835.94095176,-47803.52605176
36,-4887.0636,-39149.6396,-4013.0355,197.60761799999997,-44036.7032,-3815.427882,-47852.131082
37,-4832.8669,-39081.5832,-4003.8752,194.610942,-43914.4501,-3809.264258,-47723.714358000005
38,-4873.8727,-39067.5025,-4012.402,195.16954392,-43941.3752,-3817.2324560800002,-47758.60765608001
39,-4898.7622,-39036.4594,-4034.6051,194.99700095999998,-43935.2216,-3839.60809904,-47774.82969904
40,-4870.323,-39008.5073,-4081.1043,195.92426232,-43878.8303,-3885.18003768,-47764.01033768
41,-4872.4974,-39060.3955,-4028.3341,195.52195799999998,-43932.8929,-3832.812142,-47765.705042
42,-4854.062,-39075.6404,-4052.0865,197.25955919999998,-43929.702399999995,-3854.8269408,-47784.52934079999
