time_ns,ligand_pose_rmsd_A,ligand_sasa_nm2,protein_ligand_contact_atoms_4A,protein_ligand_contact_atoms_8A
80.0,2.1419778,0.16131993,62,354
80.5,2.2578936,0.21991418,52,354
81.0,1.9710362,0.15861508,59,349
81.5,2.1454692,0.15544094,55,348
82.0,2.1130905,0.12975156,63,358
82.5,2.0329204,0.08982143,64,350
83.0,2.347578,0.13174336,67,358
83.5,2.0806875,0.19253194,58,349
84.0,2.112951,0.14342746,62,359
84.5,2.2469811,0.20013846,61,358
85.0,2.0742922,0.26389915,56,355
85.5,2.009671,0.15978083,58,357
86.0,2.135062,0.13841474,62,348
86.5,2.3383014,0.16192342,62,357
87.0,2.1524878,0.15114608,66,349
87.5,2.175462,0.102115676,58,354
88.0,2.2547534,0.12576377,62,353
88.5,2.3285947,0.1549784,64,349
89.0,2.1917214,0.1540232,58,347
89.5,2.1867142,0.24854712,61,355
90.0,2.1782706,0.28957427,66,358
90.5,2.231085,0.18291998,57,351
91.0,1.9510378,0.18058643,62,343
91.5,2.1848223,0.15065208,60,355
92.0,2.1635783,0.18369938,64,357
92.5,2.105052,0.285597,51,355
93.0,2.0559833,0.17880177,71,361
93.5,1.9965849,0.19445008,60,354
94.0,2.0014582,0.17598015,53,351
94.5,1.9933475,0.2037603,60,364
95.0,2.0900025,0.2842723,55,343
95.5,2.2263362,0.15062149,65,356
96.0,1.9920337,0.20245412,61,353
96.5,1.9397539,0.27036384,52,349
97.0,1.9282836,0.14859937,58,358
97.5,2.1355498,0.21214898,63,347
98.0,2.0768142,0.27169344,56,344
98.5,1.8865654,0.24880975,59,355
99.0,1.9333756,0.23618217,58,351
99.5,2.0760071,0.19619182,63,373
100.0,1.8251677,0.16219062,73,350
