time_ns,ligand_pose_rmsd_A,ligand_sasa_nm2,protein_ligand_contact_atoms_4A,protein_ligand_contact_atoms_8A
50.0,1.0693879,0.19308418,46,333
50.5,1.0927277,0.18236443,39,339
51.0,1.1090709,0.18008213,45,330
51.5,1.2443733,0.26597092,41,329
52.0,1.1978317,0.16072445,44,330
52.5,1.2016264,0.24590817,42,324
53.0,1.0806792,0.27532634,45,330
53.5,0.9354574,0.30119935,41,341
54.0,0.85773975,0.21990882,45,334
54.5,0.97707236,0.17974009,44,340
55.0,1.0159628,0.20220378,42,343
55.5,0.7254687,0.3018443,46,335
56.0,1.07357,0.24879637,44,347
56.5,1.0216168,0.20582631,46,339
57.0,1.050829,0.29500383,39,348
57.5,1.2993716,0.2336784,42,344
58.0,0.967908,0.23325285,49,343
58.5,1.3658924,0.29753846,41,332
59.0,1.1861415,0.21531597,44,334
59.5,1.237362,0.35368317,50,322
60.0,1.2464554,0.22378837,38,336
60.5,1.3729502,0.38417256,38,339
61.0,1.0802159,0.25653416,39,335
61.5,0.97781426,0.19508629,43,338
62.0,1.3327439,0.17441219,43,339
62.5,0.90775937,0.19569205,48,336
63.0,1.1164632,0.20920461,49,342
63.5,0.95465535,0.1430632,44,336
64.0,0.9364561,0.12869276,49,340
64.5,1.1559023,0.22374345,45,340
65.0,1.0066442,0.18873213,45,339
65.5,1.1045418,0.15944259,52,347
66.0,1.0847274,0.11381218,45,332
66.5,1.2843394,0.14921734,48,333
67.0,1.0073354,0.141246,50,344
67.5,0.9786696,0.15339524,48,353
68.0,1.009322,0.079526775,39,337
68.5,1.0035303,0.12488081,45,348
69.0,1.1577034,0.14840814,49,341
69.5,0.98353934,0.06058778,43,347
70.0,0.87758064,0.045312528,51,352
70.5,0.7925626,0.14656706,47,355
71.0,1.0958613,0.084002174,54,344
71.5,1.2872264,0.21083578,46,354
72.0,1.0931109,0.1561348,46,354
72.5,1.0952306,0.1915214,42,350
73.0,1.3080149,0.2381887,50,351
73.5,1.2461967,0.2896958,45,343
74.0,1.202006,0.2548998,45,342
74.5,1.2932506,0.21819581,46,345
75.0,1.2248392,0.22438264,44,343
75.5,1.2530739,0.16082904,46,343
76.0,1.1000588,0.16803013,51,355
76.5,1.1860377,0.20123182,49,340
77.0,1.0621848,0.17610428,51,359
77.5,1.341396,0.27869672,43,331
78.0,1.0934914,0.17721355,48,353
78.5,0.919667,0.14549097,46,347
79.0,1.2541358,0.17629689,50,354
79.5,1.0519238,0.2419181,45,336
80.0,1.1422324,0.14858358,48,349
80.5,0.9468907,0.1299852,48,347
81.0,1.1819052,0.102066934,54,352
81.5,1.0041755,0.18780245,52,349
82.0,1.1009859,0.10912572,53,352
82.5,1.106257,0.13699785,49,340
83.0,1.101655,0.1595222,48,345
83.5,1.4046317,0.17454964,52,341
84.0,1.0854092,0.046340622,45,353
84.5,1.1089318,0.19406766,48,341
85.0,1.0773902,0.1821517,45,342
85.5,1.1645607,0.23328465,42,340
86.0,1.216508,0.18087779,48,356
86.5,1.0972819,0.12118013,50,359
87.0,1.0914432,0.14723611,48,350
87.5,0.96528167,0.12651289,46,342
88.0,1.164357,0.2268864,47,348
88.5,1.0218878,0.19179314,51,348
89.0,1.2468432,0.16656417,51,352
89.5,1.3291543,0.14216676,49,352
90.0,1.2775646,0.22985767,45,345
90.5,1.339591,0.15694627,52,344
91.0,1.3965118,0.16065991,44,347
91.5,1.2708069,0.16032097,45,352
92.0,1.0616035,0.18678513,45,341
92.5,1.1508586,0.23776144,39,346
93.0,1.3467603,0.19205065,43,351
93.5,1.3939155,0.2609687,50,349
94.0,1.4505482,0.19583195,48,353
94.5,1.6339116,0.21685705,45,344
95.0,1.2880253,0.24088964,43,345
95.5,1.4373821,0.18842524,43,340
96.0,1.6411021,0.17163973,44,341
96.5,1.3161398,0.15887068,45,349
97.0,1.3434706,0.18514472,50,346
97.5,1.4005141,0.17625043,41,346
98.0,1.1850616,0.23317975,45,344
98.5,1.5894663,0.29306996,42,343
99.0,1.6149435,0.29873118,41,344
99.5,1.3840915,0.22480911,39,341
